"workerid","color","percentage_blue","modal","rating","speaker_cond"
9,"""orange""",90,"""bare""",0.06,"f"
9,"""orange""",100,"""bare""",0.06,"f"
9,"""orange""",0,"""probably""",0.74,"f"
9,"""orange""",10,"""probably""",0.85,"f"
9,"""orange""",25,"""probably""",0.88,"f"
9,"""orange""",40,"""probably""",0.96,"f"
9,"""orange""",50,"""probably""",0.6,"f"
9,"""orange""",60,"""probably""",0.25,"f"
9,"""orange""",75,"""probably""",0,"f"
9,"""orange""",90,"""probably""",0,"f"
9,"""orange""",100,"""probably""",0,"f"
9,"""orange""",0,"""might""",0.17,"f"
9,"""orange""",10,"""might""",0.33,"f"
9,"""orange""",25,"""might""",0.63,"f"
9,"""orange""",40,"""might""",0.67,"f"
9,"""orange""",50,"""might""",0.59,"f"
9,"""orange""",60,"""might""",0.42,"f"
9,"""orange""",75,"""might""",0.22,"f"
9,"""orange""",90,"""might""",0.13,"f"
9,"""orange""",100,"""might""",0,"f"
9,"""blue""",0,"""bare""",0,"f"
9,"""blue""",10,"""bare""",0,"f"
9,"""blue""",25,"""bare""",0.21,"f"
9,"""blue""",40,"""bare""",0.25,"f"
9,"""blue""",50,"""bare""",0.27,"f"
9,"""blue""",60,"""bare""",0.43,"f"
9,"""blue""",75,"""bare""",0.65,"f"
9,"""blue""",90,"""bare""",0.82,"f"
9,"""blue""",100,"""bare""",1,"f"
9,"""blue""",0,"""probably""",0,"f"
9,"""blue""",10,"""probably""",0.12,"f"
9,"""blue""",25,"""probably""",0.29,"f"
9,"""blue""",40,"""probably""",0.42,"f"
9,"""blue""",50,"""probably""",0.63,"f"
9,"""blue""",60,"""probably""",1,"f"
9,"""blue""",75,"""probably""",0.84,"f"
9,"""blue""",90,"""probably""",0.61,"f"
9,"""blue""",100,"""probably""",0.38,"f"
10,"""blue""",0,"""probably""",0.01,"f"
10,"""blue""",10,"""probably""",0,"f"
10,"""blue""",25,"""probably""",0,"f"
10,"""blue""",40,"""probably""",0,"f"
10,"""blue""",50,"""probably""",1,"f"
