"","pair","reverse_sent_order","sentence1","sentence2","modal1","modal2","rating1","rating2","rating_other","percentage_blue","color","xxx","catch_trial","catch_trial_answer_correct","speaker","condition","phase","language","gender","age","misread_instructions","trial","subjectid","date"
"65","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.6,0.37,0.03,25,"orange",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,64,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"66","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.41,0.59,0,25,"blue",1,0,-1,"m","confident_f","post_exposure","German","m",28,0,65,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"67","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.42,0.58,1.11022302463e-16,25,"blue",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,66,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"68","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.34,0.52,0.14,50,"blue",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,67,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"69","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.45,0.55,0,0,"orange",1,0,-1,"m","confident_f","post_exposure","German","m",28,0,68,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"70","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.39,0.51,0.1,10,"blue",1,0,-1,"m","confident_f","post_exposure","German","m",28,0,69,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"71","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.38,0.46,0.16,25,"orange",1,0,-1,"m","confident_f","post_exposure","German","m",28,0,70,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"72","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.33,0.49,0.18,50,"blue",1,1,1,"m","confident_f","post_exposure","German","m",28,0,71,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"73","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.42,0.08,0.5,90,"orange",1,0,-1,"m","confident_m","pre_exposure","English","f",19,0,0,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"74","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.73,0.27,0,50,"blue",1,0,-1,"f","confident_m","pre_exposure","English","f",19,0,1,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"75","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.45,0.55,0,75,"blue",1,0,-1,"f","confident_m","pre_exposure","English","f",19,0,2,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
